satelite_id,Datetime,a0,a1,a2,AODE,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,BDT Week,Spare2,SV accurracy,SatH1,TGD1,TGD2,t_tm,AODC
C28,2024-10-08 07:00:00,0.000294440775178,4.48885373316e-12,0.0,1.0,20.515625,4.17303096635e-09,1.47859702082,1.12364068627e-06,0.00029214459937100003,8.38655978441e-07,5282.637315749999,198000.0,-3.86498868465e-08,-0.8971171326440001,-4.4237822294200005e-08,0.9570454386350001,344.8125,-2.00435844674,-7.221729385440001e-09,3.5715773419599996e-11,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,198000.0,1.0
C28,2024-10-08 08:00:00,0.000294456258416,4.43378667114e-12,0.0,1.0,20.484375,4.15053002909e-09,1.96898131179,1.13341957331e-06,0.000292531098239,1.22515484691e-06,5282.63553619,201600.0,2.28174030781e-08,-0.897143146253,-5.54136931896e-08,0.957045840938,338.171875,-2.00717793753,-7.16636993664e-09,3.85730352932e-11,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,201600.0,1.0
C28,2024-10-08 09:00:00,0.000294471741654,4.37871960912e-12,0.0,1.0,14.34375,4.13838666613e-09,2.4592158614,7.62287527323e-07,0.00029340747278200005,1.5702098607999997e-06,5282.633247379999,205200.0,3.91155481339e-08,-0.897168816077,-1.0710209608100001e-08,0.9570461540020001,332.234375,-2.00984723638,-7.127439743620001e-09,2.5001041393699996e-11,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,205200.0,1.0
C28,2024-10-08 10:00:00,0.000294489553198,4.65139038397e-12,0.0,1.0,17.953125,4.079098482250001e-09,2.94658140775,7.664784789089999e-07,0.00029288418591,1.60606577992e-06,5282.63426018,208800.0,3.35276126862e-08,-0.8971944405500001,-3.7252902984600004e-09,0.9570462564070001,330.421875,-2.00964689999,-7.12243953534e-09,2.1072306317599998e-11,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,208800.0,1.0
C28,2024-10-08 11:00:00,0.000294504337944,4.32187619026e-12,0.0,1.0,21.546875,3.9887375755000006e-09,-2.84782377566,8.642673492429998e-07,0.000291552627459,1.8537975847699998e-06,5282.636928559999,212400.0,4.56348061562e-08,-0.8972202040000001,2.421438694e-08,0.9570463222380001,320.828125,-2.01086166473,-7.126368270410001e-09,4.25017703693e-11,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,212400.0,1.0
C28,2024-10-08 12:00:00,0.000294519588351,4.28812541031e-12,0.0,1.0,22.15625,3.93587823084e-09,-2.36034323078,1.0030344128599998e-06,0.00029147544410100003,1.7434358596799998e-06,5282.63699532,216000.0,1.35041773319e-08,-0.8972460171900001,4.74974513054e-08,0.9570465109540001,319.859375,-2.01077793462,-7.115296380650001e-09,7.00029159024e-11,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,216000.0,1.0
C28,2024-10-08 13:00:00,0.0002945333253592,4.092726157978e-12,0.0,1.0,33.375,3.936592546309e-09,-1.877847412477,1.683831214905e-06,0.00029194634407760003,1.7913989722729998e-06,5282.633964539001,219600.00000000003,-4.19095158577e-09,-0.8972717206602001,3.0267983675e-08,0.9570468240189,318.9375,-2.005709619822,-7.099224282616001e-09,8.250343659929998e-11,0.0,978.9999999999999,,2.0,0.0,-4.700000000000001e-09,-4.700000000000001e-09,219600.00000000003,1.0
C28,2024-10-08 14:00:00,0.00029454869218200003,4.18509671363e-12,0.0,1.0,38.03125,3.93623538858e-09,-1.393894933,1.97254121304e-06,0.000291831209324,2.19326466322e-06,5282.63188553,223200.00000000003,-6.053596735000001e-09,-0.897297277839,2.93366611004e-08,0.957047119528,312.84375,-2.0020970826,-7.09993859808e-09,8.286059433349998e-11,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,223200.00000000003,1.0
C28,2024-10-08 15:00:00,0.000294563826174,4.19575485466e-12,0.0,1.0,41.640625,3.89516224914e-09,-0.903928660623,2.10897997022e-06,0.00029243004974000003,1.99396163225e-06,5282.633676529999,226799.99999999997,-1.67638063431e-08,-0.897322856962,2.3283064365400003e-08,0.9570473667610001,318.6875,-2.00449780139,-7.110653330110001e-09,8.464638300449999e-11,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,226799.99999999997,1.0
C28,2024-10-08 16:00:00,0.000294580822811,4.43378667114e-12,0.0,1.0,52.765625,3.83837416941e-09,-0.414043101826,2.61841341853e-06,0.00029382598586400003,1.8924474716199998e-06,5282.63670921,230399.99999999997,-3.07336449623e-08,-0.897348389271,3.72529029846e-08,0.9570477222510001,320.984375,-2.0068186273,-7.098509967150001e-09,7.50031241812e-11,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,230399.99999999997,1.0
C28,2024-10-08 17:00:00,0.000294596538879,4.40092406961e-12,0.0,1.0,52.78125,3.83801701167e-09,0.0737851201664,2.6347115635899996e-06,0.000293689314276,1.84588134289e-06,5282.6364364599995,234000.0,-8.89413058758e-08,-0.8973736714210001,6.053596735000001e-09,0.957048054333,322.5,-2.00708328966,-7.0781519763e-09,2.9644091938299995e-11,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,234000.0,1.0
C28,2024-10-08 18:00:00,0.00029461190570100005,4.353850613369999e-12,0.0,1.0,54.109375,3.8855189903200005e-09,0.5630492825660001,2.6863999664799995e-06,0.000292833312415,1.55763700604e-06,5282.63451004,237600.0,-5.86733222008e-08,-0.8973987575400001,-8.38190317154e-08,0.957048127479,329.71875,-2.00878374906,-7.0874380773900005e-09,-3.89301930274e-11,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,237600.0,1.0
C28,2024-10-08 19:00:00,0.000294626457617,4.20019574676e-12,0.0,1.0,49.921875,3.90694845437e-09,1.0488046696,2.4251639843e-06,0.000293086981401,1.62469223142e-06,5282.63566208,241200.0,2.23517417908e-08,-0.897423946064,-7.03148543835e-08,0.9570478392840001,328.890625,-2.00697467384,-7.127082585880001e-09,-8.928943354899999e-11,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,241200.0,1.0
C28,2024-10-08 20:00:00,0.000294642872177,4.38138414438e-12,0.0,1.0,43.140625,3.908734243040001e-09,1.53271071313,2.03540548682e-06,0.000293182209134,1.39093026519e-06,5282.63776398,244800.0,2.60770320892e-08,-0.897449517872,-3.77185642719e-08,0.9570474062600001,332.8125,-2.00331649212,-7.15101215407e-09,-1.0178995424599999e-10,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,244800.0,1.0
C28,2024-10-08 21:00:00,0.000294658239,4.31565894132e-12,0.0,1.0,42.25,3.93730686178e-09,2.0222763493,1.9958242773999998e-06,0.000293522258289,1.5357509255399997e-06,5282.63645172,248400.0,5.1688402891200006e-08,-0.897475257915,-3.21306288242e-08,0.957047153175,327.765625,-2.00531842675,-7.12815405909e-09,-1.02861427448e-10,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,248400.0,1.0
C28,2024-10-08 22:00:00,0.00029467325657600005,4.24993373827e-12,0.0,1.0,34.875,3.968022426920001e-09,2.512460339,1.70990824699e-06,0.00029449805151700006,1.7508864402799999e-06,5282.63404274,252000.0,5.77419996262e-08,-0.897500759503,2.1886080503500002e-08,0.9570469703110001,322.265625,-2.00793820582,-7.08529513098e-09,-1.21076471892e-10,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,252000.0,1.0
C28,2024-10-08 23:00:00,0.000294689787552,4.40625314013e-12,0.0,1.0,37.09375,3.95766485263e-09,3.00001429896,1.8649734556699998e-06,0.000294111319818,1.8528662622e-06,5282.63479233,255600.0,1.9092112779599998e-08,-0.89752610017,3.39932739735e-08,0.957046597267,320.453125,-2.00792717542,-7.06493714013e-09,-1.45006040084e-10,0.0,978.9999999999999,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,255600.0,1.0
