satelite_id,Datetime,a0,a1,a2,AODE,C_rs,Delta n,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,BDT Week,Spare2,SV accurracy,SatH1,TGD1,TGD2,t_tm,AODC
C27,2024-08-22 04:00:00,0.000358178513125,5.23137089203e-12,0.0,1.0,-92.5625,3.8855189903200005e-09,-1.28412115911,-4.62448224425e-06,0.000545732909814,1.1516734957700001e-05,5282.62022781,360000.0,2.51457095146e-08,-0.0257199240924,-1.76951289177e-08,0.9582309552630002,121.578125,1.55451531107,-6.92171688872e-09,-7.50031241812e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,360000.0,1.0
C27,2024-08-22 05:00:00,0.000358197721653,5.31930055558e-12,0.0,1.0,-83.40625,3.89516224914e-09,-0.794866988441,-4.05637547374e-06,0.000546613824554,1.1468771845100001e-05,5282.622734070001,363600.0,5.448237061500001e-08,-0.0257449897307,-4.61004674435e-08,0.9582281537749999,122.28125000000001,1.55282975295,-6.947432245580001e-09,-7.29316093228e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,363600.0,1.0
C27,2024-08-22 06:00:00,0.000358216813765,5.31930055558e-12,0.0,1.0,-81.25,3.92659212975e-09,-0.30699152443500005,-3.891531378029999e-06,0.0005468499148260001,1.1582858860500001e-05,5282.6232814800005,367200.0,1.29453837872e-07,-0.025770372822300002,5.122274160390001e-09,0.9582254546910001,121.609375,1.55252226805,-6.9731476024400005e-09,-6.67170647478e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,367200.0,1.0
C27,2024-08-22 07:00:00,0.000358235440217,5.22337728626e-12,0.0,1.0,-76.71875,3.99802367659e-09,0.181207244466,-3.7089921534099997e-06,0.0005449949530879999,1.1062249541300001e-05,5282.619609830001,370800.0,6.984919309620001e-08,-0.0257960353313,1.28988176584e-07,0.9582231110960001,134.796875,1.55189166259,-6.9552897157300005e-09,-5.69309428309e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,370800.0,1.0
C27,2024-08-22 08:00:00,0.00035825453233000003,5.2784443482799994e-12,0.0,1.0,-67.734375,4.0144529323600004e-09,0.670148470625,-3.35602089763e-06,0.000543905305676,1.09076499939e-05,5282.61704826,374400.0,-6.053596735e-08,-0.025821604213499997,8.89413058758e-08,0.958221319021,138.671875,1.55051998671,-6.88421532663e-09,-4.88948938114e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,374400.0,1.0
C27,2024-08-22 09:00:00,0.000358273042366,5.230482713609999e-12,0.0,1.0,-72.953125,3.9594506413e-09,1.15599291426,-3.62051650882e-06,0.000544271431863,1.06520019472e-05,5282.61900711,378000.0,-5.12227416039e-08,-0.025846548429600002,2.56113708019e-08,0.958219788809,143.953125,1.55224558197,-6.83421324384e-09,-4.678766317970001e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,378000.0,1.0
C27,2024-08-22 10:00:00,0.000358292483725,5.30331334403e-12,0.0,1.0,-72.484375,3.90730561211e-09,1.64050117826,-3.60375270247e-06,0.000544213573448,1.0120682418300001e-05,5282.62225914,381600.0,-6.61239027977e-08,-0.0258711576376,1.0710209608100001e-08,0.9582180362330001,156.171875,1.55530638695,-6.84849955321e-09,-4.6430505445500003e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,381600.0,1.0
C27,2024-08-22 11:00:00,0.0003583119250834,5.338840480817e-12,0.0,1.0,-73.390625,3.916948870928e-09,2.128099820128,-3.721565008163e-06,0.0005443129921332001,1.0130926966670001e-05,5282.622121811,385200.0,-6.426125764847e-08,-0.02589601700448,-5.5413693189620006e-08,0.958216146143,156.953125,1.555275817812,-6.899215951466e-09,-4.396611707954001e-10,0.0,972.0000000000001,,2.0,0.0,-4.6e-09,-4.6e-09,385200.0,1.0
C27,2024-08-22 12:00:00,0.00035832892172,5.07149877649e-12,0.0,1.0,-85.0,3.9644508495800004e-09,2.61732749004,-4.36371192336e-06,0.000545861548744,9.80217009783e-06,5282.6186275499995,388800.0,-4.65661287308e-10,-0.0259211250675,-6.61239027977e-08,0.958214468176,163.015625,1.55361644008,-6.93064583208e-09,-4.00730977768e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,388800.0,1.0
C27,2024-08-22 13:00:00,0.000358347664587,5.15498754794e-12,0.0,1.0,-87.09375,3.9769513702700005e-09,3.10512311968,-4.475004971029999e-06,0.0005470411852,9.30111855268e-06,5282.61630821,392400.0,8.84756445885e-09,-0.025946133652,-5.3085386753100004e-08,0.9582130315900002,171.421875,1.55339022027,-6.93350309395e-09,-3.9073056121100003e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,392400.0,1.0
C27,2024-08-22 14:00:00,0.00035836733877700006,5.2793325267e-12,0.0,1.0,-93.328125,3.92302055241e-09,-2.68960300894,-4.67011705041e-06,0.000546128256246,9.43057239056e-06,5282.61831474,396000.0,4.37721610069e-08,-0.025970938891,-6.10016286373e-08,0.9582115833010001,166.890625,1.55250095919,-6.947075087850001e-09,-4.1430297166700003e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,396000.0,1.0
C27,2024-08-22 15:00:00,0.00035838584881300005,5.2162718588999995e-12,0.0,1.0,-104.375,3.86694678814e-09,-2.19983992272,-5.0636008381799996e-06,0.000545190181583,9.35373827815e-06,5282.62127304,399600.0,6.51925802231e-08,-0.025995770462499998,-1.25728547573e-08,0.958209940444,169.140625,1.55030690099,-6.98350517674e-09,-4.3787538212400004e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,399600.0,1.0
C27,2024-08-22 16:00:00,0.000358405057341,5.2740034561799996e-12,0.0,1.0,-105.46875,3.8487317437000005e-09,-1.71243328885,-5.070585757489999e-06,0.000545110437088,9.48458909988e-06,5282.62111664,403200.0,6.10016286373e-08,-0.026020904858,-4.19095158577e-09,0.958208335623,168.21875,1.55046831498,-6.989576858220001e-09,-4.4001832853e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,403200.0,1.0
C27,2024-08-22 17:00:00,0.000358422170393,4.98712182662e-12,0.0,1.0,-108.296875,3.85873216025e-09,-1.22642650666,-5.2363611757799994e-06,0.0005448940210040001,9.79145988822e-06,5282.619409559999,406799.99999999994,6.23986124992e-08,-0.026046043642300003,9.778887033460002e-09,0.9582067980960001,162.390625,1.55202980155,-6.98029075713e-09,-4.4394706360600003e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,406799.99999999994,1.0
C27,2024-08-22 18:00:00,0.000358441029675,5.10702591328e-12,0.0,1.0,-101.03125,3.79015787529e-09,-0.737662186797,-5.00632449985e-06,0.000545633025467,9.8180025816e-06,5282.6213340799995,410400.0,3.6321580409999996e-08,-0.0260710332089,3.44589352608e-08,0.9582052810500001,161.75,1.55083409277,-6.957789819870001e-09,-4.6287642351800006e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,410400.0,1.0
C27,2024-08-22 19:00:00,0.000358461053111,5.30508970087e-12,0.0,1.0,-97.453125,3.74301305437e-09,-0.24964475098,-4.8968940973299995e-06,0.000546272960491,9.912066161629998e-06,5282.62265587,413999.99999999994,1.62981450558e-08,-0.026095977425100003,2.04890966415e-08,0.958203629416,158.078125,1.55038437566,-6.95136098066e-09,-4.800199947600001e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,413999.99999999994,1.0
C27,2024-08-22 20:00:00,0.0003584797959775,5.2740034561789995e-12,0.0,1.0,-92.4375,3.779800300997001e-09,0.2386206523765,-4.651956260204e-06,0.0005448256852105,9.419862180948e-06,5282.619735718,417600.0,1.443549990654e-08,-0.026120999175890003,2.002343535423e-08,0.9582019002467,167.859375,1.549686287248,-6.95064666519e-09,-4.800199947595e-10,0.0,972.0000000000001,,2.0,0.0,-4.6e-09,-4.6e-09,417600.0,1.0
C27,2024-08-22 21:00:00,0.00035849865526,5.2580162446200004e-12,0.0,1.0,-81.75,3.81444460121e-09,0.727922420548,-4.122033715249999e-06,0.0005436456995080001,9.28109511733e-06,5282.6167964900005,421200.0,3.7252902984600004e-09,-0.0261460633513,1.53668224812e-08,0.9582001944840001,170.765625,1.5479529473,-6.94421782597e-09,-4.739483132780001e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,421200.0,1.0
C27,2024-08-22 22:00:00,0.00035851751454200003,5.24735810359e-12,0.0,1.0,-84.828125,3.781943247400001e-09,1.21419981771,-4.23658639193e-06,0.000543845002539,9.10274684429e-06,5282.61820793,424800.0,7.450580596920001e-09,-0.026171060232599998,1.9092112779599998e-08,0.95819848287,175.296875,1.54924486196,-6.94528929918e-09,-4.75376944215e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,424800.0,1.0
C27,2024-08-22 23:00:00,0.000358535209671,5.09192688014e-12,0.0,1.0,-82.65625,3.73122684915e-09,1.69853881185,-4.130881279709999e-06,0.000543663278222,8.50716605783e-06,5282.62164497,428400.0,2.3283064365400003e-09,-0.026196068817099998,1.25728547573e-08,0.958196741998,188.046875,1.5524745345,-6.95136098066e-09,-4.735911555440001e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.59999993652e-09,-4.6e-09,428400.0,1.0
C28,2024-08-22 00:00:00,0.00027675635647,4.29256630241e-12,0.0,1.0,-86.5,3.6319369990400003e-09,1.333339771,-4.25009056926e-06,0.000236543361098,1.1717434972500001e-05,5282.6374187500005,345600.0,6.56582415104e-08,-0.025879215390299998,-1.1688098311399998e-07,0.95811825498,126.609375,-2.32406890134,-6.79242578894e-09,-6.93957477543e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,345600.0,1.0
C28,2024-08-22 01:00:00,0.000276773120277,4.45599113164e-12,0.0,1.0,-89.59375,3.7051543345500003e-09,1.81898224855,-4.55090776086e-06,0.00023647909984000003,1.1576805263800001e-05,5282.63832092,349200.0,7.40401446819e-08,-0.025903378408300003,-1.35041773319e-08,0.958115406678,127.703125,-2.32214873504,-6.87064333273e-09,-7.33244828305e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,349200.0,1.0
C28,2024-08-22 02:00:00,0.000276789302006,4.47197834319e-12,0.0,1.0,-89.421875,3.8090872352e-09,2.31055829404,-4.5532360673e-06,0.00023735722061200002,1.18049792945e-05,5282.63581848,352800.0,5.26197254658e-08,-0.0259281105013,-1.1641532182700001e-08,0.958112679799,118.015625,-2.32616190116,-6.88921553491e-09,-7.3288767057e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,352800.0,1.0
C28,2024-08-22 03:00:00,0.000276803737506,4.25970370088e-12,0.0,1.0,-86.71875,3.8373026962000005e-09,2.79795879097,-4.3096952140300004e-06,0.00023700424935700002,1.16797164083e-05,5282.63649368,356400.0,4.842877388e-08,-0.0259529259807,-1.49011611938e-08,0.958110024603,118.453125,-2.32599831766,-6.89314426998e-09,-7.321733551020001e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,356400.0,1.0
C28,2024-08-22 04:00:00,0.00027681968640500004,4.33075797446e-12,0.0,1.0,-78.125,3.83051669925e-09,-2.99714742717,-3.8230791688e-06,0.000235782121308,1.1812895536400002e-05,5282.63890076,360000.0,7.96280801296e-08,-0.0259778643452,-2.0023435354200002e-08,0.958107332833,116.17187499999999,-2.32651354131,-6.908502052550001e-09,-7.136011529240001e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,360000.0,1.0
C28,2024-08-22 05:00:00,0.000276836217381,4.46220838057e-12,0.0,1.0,-78.59375,3.87730436243e-09,-2.51186276183,-3.82913276553e-06,0.000236397609115,1.15912407637e-05,5282.63731766,363600.0,1.10827386379e-07,-0.026003086515799998,6.10016286373e-08,0.95810473908,122.359375,-2.32423492645,-6.917788153640001e-09,-6.51455707174e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,363600.0,1.0
C28,2024-08-22 06:00:00,0.00027685309760300004,4.59543514353e-12,0.0,1.0,-68.9375,3.93730686178e-09,-2.03211644247,-3.4212134778499997e-06,0.000237367581576,1.10859982669e-05,5282.6332531,367200.0,7.450580596920001e-09,-0.026028478384899998,1.2246891856199998e-07,0.9581025081290001,134.359375,-2.31641711271,-6.88171522249e-09,-5.70023743777e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,367200.0,1.0
C28,2024-08-22 07:00:00,0.00027686799876400003,4.372502360180001e-12,0.0,1.0,-66.21875,3.92980654936e-09,-1.5460251987,-3.35182994604e-06,0.000237448024563,1.1040363460800002e-05,5282.63258171,370800.0,-5.3085386753100004e-08,-0.0260535528008,6.00703060627e-08,0.9581006809450001,135.328125,-2.31494293748,-6.8270700891600004e-09,-5.26093342471e-10,0.0,972.0000000000001,0.0,2.0,0.0,-4.69999994479e-09,-4.700000000000001e-09,370800.0,1.0
