Satelitenumber,Datetime,X,Y,Z,azimuth,zenith
E15,2024-09-18 14:10:00,19284651.855794016,-9722512.688131496,20250734.121438585,242.6939898028126,34.93968894063192
E15,2024-09-18 14:10:00,19279686.326209404,-9713619.010534495,20259729.317952808,242.70330730582543,34.90814836717521
E15,2024-09-18 14:10:00,19300552.557660278,-9750931.702881927,20221897.24887117,242.6640645958911,35.04061481293304
E15,2024-09-18 14:10:00,19299558.27454433,-9749157.332536822,20223701.885808628,242.66593977220623,35.03430711745914
E18,2024-09-18 14:00:00,956028.5328310672,-24849334.791361313,14968057.929956382,290.2995924476565,77.69493787671071
E18,2024-09-18 14:00:00,935146.5471895583,-24892598.522007704,14925064.396448825,290.277129902937,77.81694908917241
E18,2024-09-18 14:00:00,926006.3763692826,-24911604.608456735,14906099.09121075,290.26714628201137,77.87057558417008
E18,2024-09-18 14:00:00,926836.0896834732,-24909877.542138826,14907824.421772651,290.26805640557,77.8657019288645
E18,2024-09-18 14:10:00,1995079.9214524706,-22915501.323915437,16656764.175052617,290.9280495020004,72.29436185759039
E18,2024-09-18 14:10:00,1945733.8552333615,-22999785.377640557,16592071.348127833,290.91590293870814,72.52841649402819
E18,2024-09-18 14:10:00,1933748.297935878,-23020352.02172428,16576168.705486434,290.9127217035898,72.58553546352508
E18,2024-09-18 14:10:00,1934836.647192811,-23018482.916367322,16577615.838511452,290.9130143306154,72.58034436227
E19,2024-09-18 12:50:00,-16273122.482907705,-5029646.804556241,24209086.78617488,354.03287681198486,74.4345287792364
E19,2024-09-18 12:50:00,-16274206.583592221,-5017553.703985422,24210867.51658872,354.0592520520832,74.4302278958297
E19,2024-09-18 12:50:00,-16272258.608493637,-5039320.941560791,24207655.504977524,354.01177974546147,74.43798664624451
E19,2024-09-18 12:50:00,-16274206.583592221,-5017553.703985422,24210867.51658872,354.0592520520832,74.4302278958297
E19,2024-09-18 13:00:00,-16157428.540818688,-7072925.331865872,23771878.414000377,349.63134462933266,75.5058706733886
E19,2024-09-18 13:00:00,-16160167.773920916,-6965593.830798529,23801690.813231573,349.85950901582055,75.4325469610791
E19,2024-09-18 13:00:00,-16159589.872687126,-6987070.081317344,23795787.563043807,349.81382519028705,75.44706666843334
E19,2024-09-18 13:00:00,-16160167.773920916,-6965593.830798529,23801690.813231573,349.85950901582055,75.4325469610791
E21,2024-09-18 13:50:00,-10385998.14806684,-16668978.350514844,22150421.20426671,324.881625094909,74.1358032097373
E21,2024-09-18 13:50:00,-10484959.705680335,-16682010.042267803,22093909.69456309,324.9612678827933,74.35952386731242
E21,2024-09-18 13:50:00,-10465191.247929601,-16679378.89776144,22105267.04520103,324.9454680860129,74.31473829872432
E21,2024-09-18 13:50:00,-10465191.25028563,-16679378.897372363,22105267.044320814,324.94546808930727,74.31473830295718
E21,2024-09-18 14:00:00,-7650837.262940603,-16442622.444387048,23398186.391914707,322.1290349791611,68.40059667745102
E21,2024-09-18 14:00:00,-7685992.466613761,-16443941.06216205,23385733.837254472,322.1713117906535,68.46901847481007
E21,2024-09-18 14:00:00,-7664901.770350451,-16443145.121499853,23393215.07353262,322.1459707484978,68.4279538667091
